address,property_id,square_meters,total_floors,floor,type,price,days_on_market,rooms,city
"91 High St, Düsseldorf",ID010342,80,8,2,Residential,891794,41,8,Düsseldorf
"22 High St, Düsseldorf",ID013782,80,10,23,Commercial,1259049,234,1,Düsseldorf
"138 Park Ave, Düsseldorf",ID007579,80,22,8,Commercial,2129471,351,1,Düsseldorf
"94 High St, Düsseldorf",ID005739,80,10,13,Commercial,7386659,146,2,Düsseldorf
"36 Park Ave, Düsseldorf",ID017171,80,28,20,Commercial,7544518,3,3,Düsseldorf
"113 Main St, Düsseldorf",ID002099,80,21,7,Commercial,9264182,297,2,Düsseldorf
"187 High St, Düsseldorf",ID008617,80,17,9,Commercial,9850027,46,4,Düsseldorf
"295 Broadway, Düsseldorf",ID003278,81,3,4,Residential,934285,281,4,Düsseldorf
"115 Broadway, Düsseldorf",ID005805,81,17,28,Residential,4643847,322,1,Düsseldorf
"210 Broadway, Düsseldorf",ID019714,81,22,21,Commercial,5469313,189,6,Düsseldorf
"233 Park Ave, Düsseldorf",ID015707,81,26,27,Residential,7334466,186,7,Düsseldorf
"259 Park Ave, Düsseldorf",ID021576,81,16,1,Residential,8688054,279,3,Düsseldorf
"36 Broadway, Düsseldorf",ID015572,82,8,22,Residential,6312999,350,3,Düsseldorf
"29 High St, Düsseldorf",ID017158,82,26,6,Residential,8408379,301,4,Düsseldorf
"171 Main St, Düsseldorf",ID015579,82,6,5,Commercial,9238228,17,6,Düsseldorf
"126 High St, Düsseldorf",ID003375,83,25,8,Commercial,1776847,212,3,Düsseldorf
"102 Park Ave, Düsseldorf",ID020599,83,21,8,Residential,6265018,176,5,Düsseldorf
"179 Main St, Düsseldorf",ID019856,83,6,20,Commercial,8234462,261,1,Düsseldorf
"59 Broadway, Düsseldorf",ID010183,83,3,1,Commercial,9156816,107,6,Düsseldorf
"296 High St, Düsseldorf",ID017923,83,15,18,Commercial,9806913,89,4,Düsseldorf
"13 High St, Düsseldorf",ID017270,84,11,28,Residential,358508,258,5,Düsseldorf
"179 Main St, Düsseldorf",ID019396,84,13,17,Commercial,2719168,64,8,Düsseldorf
"255 High St, Düsseldorf",ID005251,84,27,4,Residential,2924901,300,6,Düsseldorf
"112 Main St, Düsseldorf",ID013880,84,16,19,Residential,5878257,272,3,Düsseldorf
"135 Park Ave, Düsseldorf",ID024022,84,5,7,Commercial,8208145,20,4,Düsseldorf
"170 Broadway, Düsseldorf",ID016149,84,5,27,Commercial,9092023,246,8,Düsseldorf
"289 High St, Düsseldorf",ID019074,85,17,2,Residential,5783198,136,7,Düsseldorf
"203 High St, Düsseldorf",ID006725,86,24,8,Commercial,4983808,191,3,Düsseldorf
"296 Broadway, Düsseldorf",ID012823,86,10,7,Commercial,7538063,272,5,Düsseldorf
"220 Main St, Düsseldorf",ID014244,86,8,5,Commercial,7902462,19,9,Düsseldorf
"150 Broadway, Düsseldorf",ID001282,86,18,27,Residential,8379569,242,6,Düsseldorf
"118 Broadway, Düsseldorf",ID014179,86,2,10,Residential,8889573,228,1,Düsseldorf
"81 Main St, Düsseldorf",ID009371,87,2,23,Residential,1322283,236,7,Düsseldorf
"129 Broadway, Düsseldorf",ID010602,87,17,29,Commercial,2281162,149,5,Düsseldorf
"250 High St, Düsseldorf",ID007395,87,1,11,Commercial,2494802,338,2,Düsseldorf
"228 Park Ave, Düsseldorf",ID003831,87,6,16,Commercial,5460215,27,5,Düsseldorf
"213 High St, Düsseldorf",ID009350,87,20,18,Commercial,8283929,291,2,Düsseldorf
"191 Main St, Düsseldorf",ID024088,87,14,14,Commercial,9075266,335,5,Düsseldorf
"120 High St, Düsseldorf",ID020434,88,4,19,Residential,1192726,240,7,Düsseldorf
"270 High St, Düsseldorf",ID025121,88,21,11,Residential,1687091,355,7,Düsseldorf
"288 Main St, Düsseldorf",ID012324,88,12,22,Residential,4152218,88,6,Düsseldorf
"57 Broadway, Düsseldorf",ID007655,88,24,11,Residential,4318183,342,5,Düsseldorf
"151 High St, Düsseldorf",ID025493,88,8,4,Residential,4843609,235,2,Düsseldorf
"43 Park Ave, Düsseldorf",ID015663,88,6,2,Commercial,8078928,272,7,Düsseldorf
"231 Broadway, Düsseldorf",ID021915,88,29,26,Commercial,9080068,216,6,Düsseldorf
"188 Broadway, Düsseldorf",ID023022,88,4,20,Residential,9285642,174,5,Düsseldorf
"264 Park Ave, Düsseldorf",ID014077,89,4,17,Commercial,8057467,188,3,Düsseldorf
"193 Main St, Düsseldorf",ID004633,89,23,18,Commercial,8751774,330,8,Düsseldorf
"18 High St, Düsseldorf",ID003562,89,17,26,Residential,9594727,102,8,Düsseldorf
"160 Park Ave, Düsseldorf",ID015968,90,17,17,Commercial,949071,175,4,Düsseldorf
"247 High St, Düsseldorf",ID018118,90,15,5,Residential,1657437,192,1,Düsseldorf
"109 Main St, Düsseldorf",ID001596,90,6,18,Commercial,4013553,176,9,Düsseldorf
"80 Main St, Düsseldorf",ID014838,90,7,1,Residential,4490023,225,3,Düsseldorf
"206 Main St, Düsseldorf",ID020538,91,3,29,Commercial,906104,350,7,Düsseldorf
"203 Main St, Düsseldorf",ID021997,91,25,24,Commercial,5279721,70,2,Düsseldorf
"115 High St, Düsseldorf",ID015122,91,15,12,Commercial,9000944,2,2,Düsseldorf
"231 Main St, Düsseldorf",ID002070,91,13,20,Residential,9760342,153,7,Düsseldorf
"221 High St, Düsseldorf",ID006965,92,9,1,Commercial,3110904,29,7,Düsseldorf
"263 Broadway, Düsseldorf",ID010972,93,14,7,Commercial,737488,268,9,Düsseldorf
"208 High St, Düsseldorf",ID001555,93,6,4,Residential,1503213,234,9,Düsseldorf
"251 High St, Düsseldorf",ID023217,93,24,15,Residential,2073372,145,4,Düsseldorf
"161 Broadway, Düsseldorf",ID018271,93,22,13,Residential,2703937,93,4,Düsseldorf
"285 High St, Düsseldorf",ID007429,93,9,4,Residential,4050724,68,7,Düsseldorf
"177 Main St, Düsseldorf",ID010051,93,16,4,Residential,5530961,251,4,Düsseldorf
"161 Main St, Düsseldorf",ID009887,93,21,26,Commercial,8649520,207,5,Düsseldorf
"74 Main St, Düsseldorf",ID004708,93,6,6,Residential,9009424,176,8,Düsseldorf
"83 Main St, Düsseldorf",ID001989,94,11,11,Residential,2535833,57,7,Düsseldorf
"128 Park Ave, Düsseldorf",ID011488,94,2,5,Residential,2679910,166,1,Düsseldorf
"67 High St, Düsseldorf",ID024748,94,14,18,Commercial,3521605,3,7,Düsseldorf
"64 Broadway, Düsseldorf",ID010548,94,4,3,Commercial,3615416,342,6,Düsseldorf
"252 Park Ave, Düsseldorf",ID019069,94,25,21,Residential,3777533,32,5,Düsseldorf
"286 Broadway, Düsseldorf",ID002334,94,3,4,Residential,5570338,59,4,Düsseldorf
"107 Main St, Düsseldorf",ID011002,94,10,5,Residential,9530736,79,4,Düsseldorf
"261 Main St, Düsseldorf",ID004919,95,15,13,Residential,2885215,164,6,Düsseldorf
"171 Broadway, Düsseldorf",ID011194,95,24,16,Residential,6128189,350,8,Düsseldorf
"157 Broadway, Düsseldorf",ID024706,96,7,11,Residential,4018760,222,1,Düsseldorf
"292 Main St, Düsseldorf",ID015875,96,22,3,Residential,9197366,314,1,Düsseldorf
"75 Park Ave, Düsseldorf",ID007335,96,22,18,Residential,9761938,8,7,Düsseldorf
"140 Park Ave, Düsseldorf",ID003907,96,5,7,Commercial,9866298,40,3,Düsseldorf
"275 High St, Düsseldorf",ID022242,97,7,2,Commercial,604179,249,1,Düsseldorf
"120 High St, Düsseldorf",ID016734,97,9,3,Residential,612670,290,4,Düsseldorf
"89 High St, Düsseldorf",ID011169,97,3,2,Residential,7324665,330,2,Düsseldorf
"108 Main St, Düsseldorf",ID004459,97,26,21,Residential,7535300,28,7,Düsseldorf
"50 High St, Düsseldorf",ID018850,97,18,21,Residential,8737658,98,2,Düsseldorf
"229 Park Ave, Düsseldorf",ID024676,97,9,22,Residential,9253777,191,1,Düsseldorf
"261 High St, Düsseldorf",ID011455,98,15,20,Residential,1080321,312,3,Düsseldorf
"73 Park Ave, Düsseldorf",ID013507,98,9,9,Residential,1192420,243,9,Düsseldorf
"147 Park Ave, Düsseldorf",ID021698,98,17,3,Residential,3410893,131,3,Düsseldorf
"149 Main St, Düsseldorf",ID022526,98,19,13,Commercial,6161608,148,7,Düsseldorf
"88 High St, Düsseldorf",ID005621,98,3,10,Residential,9943011,316,7,Düsseldorf
"128 High St, Düsseldorf",ID023976,99,8,17,Residential,541901,81,9,Düsseldorf
"33 Main St, Düsseldorf",ID010094,99,22,8,Commercial,936297,342,4,Düsseldorf
"177 Main St, Düsseldorf",ID010033,99,13,24,Residential,2186635,157,1,Düsseldorf
"245 Park Ave, Düsseldorf",ID024967,99,21,11,Commercial,3052718,243,6,Düsseldorf
"299 Broadway, Düsseldorf",ID016560,99,29,3,Residential,7349085,228,7,Düsseldorf
"138 Broadway, Düsseldorf",ID011498,99,28,25,Residential,8755978,61,9,Düsseldorf
"89 High St, Düsseldorf",ID022766,99,12,6,Residential,9474646,100,9,Düsseldorf
"80 Main St, Düsseldorf",ID020003,99,7,18,Residential,9669823,269,4,Düsseldorf
"180 Broadway, Düsseldorf",ID025252,100,16,19,Residential,4981083,19,2,Düsseldorf
"190 Broadway, Düsseldorf",ID000454,100,10,21,Residential,5542326,282,3,Düsseldorf
"206 Park Ave, Düsseldorf",ID018332,100,29,16,Commercial,5558109,233,1,Düsseldorf
"169 High St, Düsseldorf",ID006397,100,2,6,Residential,5968974,51,8,Düsseldorf
"275 Park Ave, Düsseldorf",ID008629,100,3,1,Residential,6938265,80,4,Düsseldorf
"23 Broadway, Düsseldorf",ID012527,100,22,25,Residential,8028075,12,5,Düsseldorf
"279 Main St, Düsseldorf",ID021748,101,4,24,Commercial,666830,345,3,Düsseldorf
"277 High St, Düsseldorf",ID008553,101,14,16,Residential,2486136,138,1,Düsseldorf
"34 Main St, Düsseldorf",ID019734,101,14,9,Commercial,4193243,260,7,Düsseldorf
"215 Park Ave, Düsseldorf",ID006872,101,27,12,Commercial,4364388,41,7,Düsseldorf
"146 Park Ave, Düsseldorf",ID012013,101,19,14,Residential,8333029,303,2,Düsseldorf
"243 High St, Düsseldorf",ID009413,101,15,12,Residential,8476097,60,6,Düsseldorf
"61 Main St, Düsseldorf",ID012065,101,3,22,Commercial,9541528,118,1,Düsseldorf
"52 Park Ave, Düsseldorf",ID019950,102,7,2,Residential,1508852,72,7,Düsseldorf
"268 Main St, Düsseldorf",ID006588,102,5,18,Residential,3913125,230,5,Düsseldorf
"264 Broadway, Düsseldorf",ID008156,102,29,18,Residential,4936256,267,7,Düsseldorf
"260 High St, Düsseldorf",ID008622,103,2,6,Commercial,950209,307,6,Düsseldorf
"55 High St, Düsseldorf",ID014478,103,26,15,Residential,2609228,348,3,Düsseldorf
"168 Main St, Düsseldorf",ID004212,103,9,22,Commercial,6081846,312,8,Düsseldorf
"238 High St, Düsseldorf",ID008032,103,19,22,Commercial,7538216,138,1,Düsseldorf
"270 Main St, Düsseldorf",ID024544,103,15,8,Commercial,8994572,325,9,Düsseldorf
"41 Broadway, Düsseldorf",ID013097,103,3,29,Residential,9275552,60,3,Düsseldorf
"242 Park Ave, Düsseldorf",ID015757,103,27,26,Commercial,9789070,192,1,Düsseldorf
"236 Main St, Düsseldorf",ID000234,104,16,6,Commercial,594621,87,8,Düsseldorf
"228 Park Ave, Düsseldorf",ID014205,104,10,8,Residential,1357692,288,4,Düsseldorf
"177 High St, Düsseldorf",ID024989,104,8,19,Residential,3433101,231,2,Düsseldorf
"160 Main St, Düsseldorf",ID002895,104,24,23,Residential,4611948,356,3,Düsseldorf
"170 High St, Düsseldorf",ID009457,104,26,2,Residential,5476016,197,3,Düsseldorf
"61 Main St, Düsseldorf",ID024678,104,13,21,Residential,5686349,123,5,Düsseldorf
"235 Broadway, Düsseldorf",ID014047,104,21,24,Residential,7626409,63,5,Düsseldorf
"92 Broadway, Düsseldorf",ID024954,104,14,21,Residential,8017630,223,2,Düsseldorf
"104 Main St, Düsseldorf",ID018661,104,4,20,Commercial,8047196,141,8,Düsseldorf
"231 High St, Düsseldorf",ID003166,105,12,20,Residential,773134,81,5,Düsseldorf
"158 Park Ave, Düsseldorf",ID011171,105,11,28,Commercial,1357672,309,5,Düsseldorf
"152 Park Ave, Düsseldorf",ID013779,105,21,2,Commercial,4280304,133,4,Düsseldorf
"53 Park Ave, Düsseldorf",ID012724,105,19,22,Residential,5952754,199,8,Düsseldorf
"114 Park Ave, Düsseldorf",ID015605,106,14,28,Commercial,2891407,224,2,Düsseldorf
"117 Park Ave, Düsseldorf",ID011474,106,10,20,Residential,4572849,136,2,Düsseldorf
"41 High St, Düsseldorf",ID024600,106,20,20,Commercial,7617312,154,2,Düsseldorf
"101 Broadway, Düsseldorf",ID022270,106,23,23,Commercial,8454952,109,8,Düsseldorf
"86 Park Ave, Düsseldorf",ID010237,107,17,7,Residential,5762693,110,2,Düsseldorf
"253 High St, Düsseldorf",ID004227,107,14,1,Residential,8159857,73,8,Düsseldorf
"123 Main St, Düsseldorf",ID014664,108,2,3,Residential,1305468,263,2,Düsseldorf
"219 High St, Düsseldorf",ID005719,108,28,9,Residential,1517214,140,2,Düsseldorf
"132 Main St, Düsseldorf",ID017296,108,15,13,Commercial,2157349,320,5,Düsseldorf
"270 High St, Düsseldorf",ID004118,108,24,18,Residential,6143777,279,2,Düsseldorf
"170 Broadway, Düsseldorf",ID013147,108,15,19,Commercial,7541915,132,2,Düsseldorf
"201 Broadway, Düsseldorf",ID011993,110,20,2,Residential,2804463,68,8,Düsseldorf
"4 Broadway, Düsseldorf",ID009900,110,21,27,Commercial,4343874,90,6,Düsseldorf
"255 High St, Düsseldorf",ID010166,110,24,19,Commercial,5998965,337,4,Düsseldorf
"278 High St, Düsseldorf",ID005046,110,2,2,Residential,8911202,305,5,Düsseldorf
"122 High St, Düsseldorf",ID010360,110,3,13,Commercial,9610293,193,7,Düsseldorf
"22 Park Ave, Düsseldorf",ID012110,111,17,15,Residential,1961308,361,1,Düsseldorf
"103 Park Ave, Düsseldorf",ID014227,111,5,28,Residential,2264383,270,1,Düsseldorf
"45 Main St, Düsseldorf",ID013049,111,28,10,Commercial,3592461,4,1,Düsseldorf
"48 High St, Düsseldorf",ID010138,111,6,11,Residential,4042908,39,8,Düsseldorf
"188 High St, Düsseldorf",ID010177,111,19,5,Residential,4950155,351,5,Düsseldorf
"90 High St, Düsseldorf",ID008518,111,1,23,Commercial,5123799,186,1,Düsseldorf
"79 Main St, Düsseldorf",ID009880,111,10,15,Residential,7374876,194,2,Düsseldorf
"193 Main St, Düsseldorf",ID015903,111,12,29,Commercial,7963444,278,5,Düsseldorf
"38 High St, Düsseldorf",ID023718,111,5,24,Residential,8934726,56,7,Düsseldorf
"156 Broadway, Düsseldorf",ID024190,112,7,5,Commercial,972269,288,5,Düsseldorf
"183 Main St, Düsseldorf",ID024073,112,16,6,Commercial,3788874,15,5,Düsseldorf
"98 High St, Düsseldorf",ID002969,112,18,26,Residential,5450642,334,5,Düsseldorf
"17 Broadway, Düsseldorf",ID013054,112,4,7,Residential,5750214,344,2,Düsseldorf
"89 Broadway, Düsseldorf",ID000621,112,20,4,Residential,6782685,101,1,Düsseldorf
"202 Main St, Düsseldorf",ID017814,112,27,8,Residential,7346219,3,8,Düsseldorf
"40 High St, Düsseldorf",ID002421,113,26,25,Commercial,4118630,333,3,Düsseldorf
"241 Broadway, Düsseldorf",ID006372,113,11,21,Residential,5640290,171,1,Düsseldorf
"245 Main St, Düsseldorf",ID002107,113,4,21,Residential,9802307,247,4,Düsseldorf
"31 High St, Düsseldorf",ID003037,113,10,3,Commercial,9885638,197,8,Düsseldorf
"265 Park Ave, Düsseldorf",ID003666,114,1,25,Residential,1251130,93,8,Düsseldorf
"274 Broadway, Düsseldorf",ID003958,114,12,14,Residential,2349485,324,6,Düsseldorf
"231 Park Ave, Düsseldorf",ID018480,114,17,15,Commercial,4234442,75,5,Düsseldorf
"279 Main St, Düsseldorf",ID012341,114,23,29,Residential,7753153,92,6,Düsseldorf
"289 Park Ave, Düsseldorf",ID024693,114,24,15,Commercial,8245188,108,3,Düsseldorf
"114 Broadway, Düsseldorf",ID006146,114,4,19,Commercial,9425500,231,9,Düsseldorf
"57 Main St, Düsseldorf",ID001645,114,10,12,Commercial,9925835,213,4,Düsseldorf
"25 Main St, Düsseldorf",ID020326,115,22,16,Residential,281787,322,5,Düsseldorf
"191 High St, Düsseldorf",ID023365,115,22,5,Commercial,1114548,166,4,Düsseldorf
"35 Main St, Düsseldorf",ID012146,115,13,19,Commercial,1218230,109,8,Düsseldorf
"187 Broadway, Düsseldorf",ID022662,115,16,27,Residential,3343386,341,5,Düsseldorf
"209 Main St, Düsseldorf",ID018422,115,17,3,Residential,4034708,54,8,Düsseldorf
"56 Broadway, Düsseldorf",ID015329,115,23,23,Residential,5721505,238,3,Düsseldorf
"120 Park Ave, Düsseldorf",ID011202,115,17,10,Commercial,9226564,147,9,Düsseldorf
"143 High St, Düsseldorf",ID000246,116,15,8,Commercial,2370387,251,1,Düsseldorf
"221 High St, Düsseldorf",ID022848,116,22,23,Commercial,4439190,310,5,Düsseldorf
"174 Main St, Düsseldorf",ID013421,116,9,3,Commercial,5991790,61,5,Düsseldorf
"57 High St, Düsseldorf",ID019758,116,19,12,Commercial,6701467,312,6,Düsseldorf
"230 Park Ave, Düsseldorf",ID000803,116,13,9,Residential,8431648,47,6,Düsseldorf
"211 Broadway, Düsseldorf",ID023635,117,2,17,Residential,1277118,189,7,Düsseldorf
"17 High St, Düsseldorf",ID022381,117,14,1,Commercial,3359335,175,3,Düsseldorf
"76 Park Ave, Düsseldorf",ID003708,117,26,2,Residential,8176783,167,8,Düsseldorf
"252 Broadway, Düsseldorf",ID014475,118,28,16,Residential,1224426,223,8,Düsseldorf
"163 Main St, Düsseldorf",ID021643,118,16,15,Commercial,7209578,102,2,Düsseldorf
"283 Park Ave, Düsseldorf",ID007734,119,14,12,Residential,1071883,255,4,Düsseldorf
"169 Park Ave, Düsseldorf",ID007939,119,7,8,Residential,1920380,10,1,Düsseldorf
"156 Broadway, Düsseldorf",ID022493,119,6,7,Residential,5808109,231,9,Düsseldorf
"104 Park Ave, Düsseldorf",ID003947,119,9,8,Residential,8861529,63,2,Düsseldorf
"193 Broadway, Düsseldorf",ID014552,120,8,7,Commercial,1596021,94,1,Düsseldorf
"100 Broadway, Düsseldorf",ID000307,120,22,2,Commercial,2887010,143,2,Düsseldorf
"67 Main St, Düsseldorf",ID023371,120,20,20,Commercial,5220194,253,2,Düsseldorf
"288 Broadway, Düsseldorf",ID000764,120,5,18,Commercial,7846881,354,9,Düsseldorf
"239 High St, Düsseldorf",ID004619,120,4,1,Residential,9107873,62,6,Düsseldorf
"230 Main St, Düsseldorf",ID019781,121,15,14,Residential,291130,154,1,Düsseldorf
"254 High St, Düsseldorf",ID013841,121,20,8,Residential,3916809,138,7,Düsseldorf
"29 Main St, Düsseldorf",ID019512,121,12,4,Commercial,3989890,291,8,Düsseldorf
"235 Park Ave, Düsseldorf",ID025469,121,3,15,Residential,4853620,229,1,Düsseldorf
"161 Main St, Düsseldorf",ID017693,121,13,1,Residential,5425261,13,7,Düsseldorf
"90 High St, Düsseldorf",ID018065,121,11,26,Residential,8227471,195,9,Düsseldorf
"208 High St, Düsseldorf",ID013402,122,17,25,Residential,181837,202,6,Düsseldorf
"299 Broadway, Düsseldorf",ID013291,122,28,25,Residential,535063,91,8,Düsseldorf
"68 Broadway, Düsseldorf",ID017916,122,11,20,Residential,5894474,40,5,Düsseldorf
"53 Main St, Düsseldorf",ID010337,123,23,19,Commercial,902653,293,9,Düsseldorf
"208 Broadway, Düsseldorf",ID015150,123,23,26,Residential,2492480,124,3,Düsseldorf
"80 Park Ave, Düsseldorf",ID007950,123,16,19,Commercial,2658988,207,3,Düsseldorf
"269 Main St, Düsseldorf",ID013651,123,12,27,Residential,2900507,331,1,Düsseldorf
"158 Main St, Düsseldorf",ID011280,123,24,6,Commercial,6329773,226,8,Düsseldorf
"162 Park Ave, Düsseldorf",ID017389,123,10,5,Residential,7688370,217,7,Düsseldorf
"235 Broadway, Düsseldorf",ID010167,123,24,18,Commercial,8129863,344,9,Düsseldorf
"261 Main St, Düsseldorf",ID009789,123,5,5,Residential,9004920,200,1,Düsseldorf
"234 Main St, Düsseldorf",ID014437,124,5,20,Residential,1174932,335,1,Düsseldorf
"6 Broadway, Düsseldorf",ID008355,124,9,2,Residential,2367205,87,8,Düsseldorf
"26 High St, Düsseldorf",ID003893,124,28,26,Commercial,8286330,116,1,Düsseldorf
"31 High St, Düsseldorf",ID005842,125,2,16,Commercial,496610,320,1,Düsseldorf
"173 High St, Düsseldorf",ID008727,125,11,29,Residential,671320,88,6,Düsseldorf
"82 Main St, Düsseldorf",ID012499,125,18,26,Residential,1995504,67,2,Düsseldorf
"84 Main St, Düsseldorf",ID018459,125,13,16,Commercial,2655941,254,5,Düsseldorf
"189 Main St, Düsseldorf",ID002113,125,19,17,Commercial,3328018,302,3,Düsseldorf
"221 High St, Düsseldorf",ID025379,125,8,8,Residential,4118677,148,7,Düsseldorf
"77 Main St, Düsseldorf",ID025332,125,29,2,Commercial,9315174,222,3,Düsseldorf
"287 High St, Düsseldorf",ID009727,125,23,28,Commercial,9756615,67,1,Düsseldorf
"10 Park Ave, Düsseldorf",ID001877,126,6,19,Commercial,1425652,227,8,Düsseldorf
"103 Broadway, Düsseldorf",ID020856,126,2,16,Residential,3103493,30,4,Düsseldorf
"205 Main St, Düsseldorf",ID012418,126,7,20,Commercial,4141238,100,9,Düsseldorf
"18 Park Ave, Düsseldorf",ID008481,126,25,11,Residential,4154665,306,6,Düsseldorf
"43 High St, Düsseldorf",ID016576,126,26,16,Residential,5603963,164,8,Düsseldorf
"300 Park Ave, Düsseldorf",ID001926,126,1,15,Residential,8499903,285,1,Düsseldorf
"236 Main St, Düsseldorf",ID018445,126,6,26,Commercial,8949170,301,3,Düsseldorf
"74 Park Ave, Düsseldorf",ID000035,127,5,27,Commercial,213698,10,2,Düsseldorf
"194 High St, Düsseldorf",ID023690,127,1,12,Residential,2161544,316,8,Düsseldorf
"294 Broadway, Düsseldorf",ID006129,127,2,26,Residential,2202613,35,4,Düsseldorf
"71 Park Ave, Düsseldorf",ID022680,127,19,13,Commercial,3050283,65,5,Düsseldorf
"256 Broadway, Düsseldorf",ID002403,127,5,27,Commercial,5421724,184,9,Düsseldorf
"68 High St, Düsseldorf",ID016736,128,25,16,Commercial,3762782,343,7,Düsseldorf
"94 Main St, Düsseldorf",ID016981,128,5,20,Residential,4792391,332,7,Düsseldorf
"296 Main St, Düsseldorf",ID014044,129,4,29,Commercial,1456099,335,6,Düsseldorf
"153 Main St, Düsseldorf",ID010853,129,27,15,Commercial,2268239,227,3,Düsseldorf
"287 Park Ave, Düsseldorf",ID023097,129,2,26,Residential,3944740,192,8,Düsseldorf
"226 Park Ave, Düsseldorf",ID010422,129,1,4,Residential,4102361,200,8,Düsseldorf
"252 Park Ave, Düsseldorf",ID010048,130,10,2,Residential,246670,98,6,Düsseldorf
"117 High St, Düsseldorf",ID014242,130,4,17,Residential,562564,213,9,Düsseldorf
"121 High St, Düsseldorf",ID019052,130,17,8,Commercial,4261751,158,6,Düsseldorf
"228 Park Ave, Düsseldorf",ID007959,130,25,4,Commercial,4906228,56,2,Düsseldorf
"91 Broadway, Düsseldorf",ID002807,130,22,20,Residential,5645194,93,8,Düsseldorf
"109 Main St, Düsseldorf",ID014804,130,9,22,Residential,6358630,97,9,Düsseldorf
"213 High St, Düsseldorf",ID021920,130,1,23,Commercial,7709918,300,4,Düsseldorf
"197 Park Ave, Düsseldorf",ID002909,130,23,16,Commercial,8534933,73,6,Düsseldorf
"80 Main St, Düsseldorf",ID000111,131,25,24,Commercial,782549,364,3,Düsseldorf
"213 High St, Düsseldorf",ID023901,132,28,29,Residential,1401668,135,6,Düsseldorf
"201 Park Ave, Düsseldorf",ID016722,132,3,24,Commercial,2869503,116,5,Düsseldorf
"18 Main St, Düsseldorf",ID015251,133,8,24,Residential,4151292,194,5,Düsseldorf
"11 Broadway, Düsseldorf",ID004730,133,15,28,Commercial,5239782,270,4,Düsseldorf
"263 Park Ave, Düsseldorf",ID007167,133,12,24,Commercial,6733399,37,2,Düsseldorf
"151 Park Ave, Düsseldorf",ID019292,134,16,12,Residential,3061547,91,4,Düsseldorf
"146 High St, Düsseldorf",ID001723,134,8,7,Residential,3655326,230,9,Düsseldorf
"280 Main St, Düsseldorf",ID017127,134,26,24,Residential,5237524,132,9,Düsseldorf
"161 Park Ave, Düsseldorf",ID009088,134,25,27,Commercial,5490426,256,2,Düsseldorf
"180 Broadway, Düsseldorf",ID014303,134,26,9,Commercial,6329934,314,6,Düsseldorf
"28 Park Ave, Düsseldorf",ID022850,134,28,2,Commercial,7863439,247,7,Düsseldorf
"62 Park Ave, Düsseldorf",ID007123,134,26,10,Residential,9936407,302,7,Düsseldorf
"110 Park Ave, Düsseldorf",ID023944,135,17,21,Residential,3280310,98,2,Düsseldorf
"16 Main St, Düsseldorf",ID025434,135,25,22,Commercial,4365259,212,4,Düsseldorf
"30 High St, Düsseldorf",ID008275,135,26,21,Residential,8188869,238,2,Düsseldorf
"55 Park Ave, Düsseldorf",ID021634,135,7,5,Residential,9818596,30,8,Düsseldorf
"22 Broadway, Düsseldorf",ID006242,135,21,11,Commercial,9839483,227,4,Düsseldorf
"162 Park Ave, Düsseldorf",ID010580,136,18,15,Residential,2501079,309,9,Düsseldorf
"245 Broadway, Düsseldorf",ID012663,136,23,15,Residential,5517898,203,6,Düsseldorf
"119 Broadway, Düsseldorf",ID022673,137,5,5,Commercial,1275013,26,6,Düsseldorf
"22 Park Ave, Düsseldorf",ID014072,137,13,20,Commercial,1504599,87,6,Düsseldorf
"88 Main St, Düsseldorf",ID012322,137,27,19,Residential,2109038,181,6,Düsseldorf
"237 Main St, Düsseldorf",ID002141,137,10,24,Residential,2773507,119,5,Düsseldorf
"132 Park Ave, Düsseldorf",ID025376,137,28,24,Commercial,4886473,76,1,Düsseldorf
"102 Park Ave, Düsseldorf",ID019548,138,3,8,Commercial,2072789,199,8,Düsseldorf
"137 Broadway, Düsseldorf",ID004818,138,10,9,Residential,3739577,229,4,Düsseldorf
"206 High St, Düsseldorf",ID002288,138,16,29,Residential,4152950,8,5,Düsseldorf
"292 High St, Düsseldorf",ID004911,138,16,29,Residential,5260661,300,7,Düsseldorf
"263 Park Ave, Düsseldorf",ID015177,138,6,10,Commercial,9661901,346,9,Düsseldorf
"207 Park Ave, Düsseldorf",ID002090,139,24,8,Residential,3890602,187,2,Düsseldorf
"197 Main St, Düsseldorf",ID009915,139,20,11,Commercial,7829096,134,5,Düsseldorf
"106 Broadway, Düsseldorf",ID005675,139,27,26,Residential,8065371,233,1,Düsseldorf
"17 Main St, Düsseldorf",ID011858,140,5,24,Commercial,1398294,244,7,Düsseldorf
"206 Broadway, Düsseldorf",ID019673,140,27,13,Residential,8463383,216,7,Düsseldorf
"112 High St, Düsseldorf",ID004231,140,15,5,Commercial,9510914,91,7,Düsseldorf
"1 Main St, Düsseldorf",ID022875,141,4,1,Commercial,3103052,5,2,Düsseldorf
"78 High St, Düsseldorf",ID014966,141,1,16,Commercial,4616827,12,5,Düsseldorf
"66 Main St, Düsseldorf",ID021528,141,19,15,Commercial,7501515,200,1,Düsseldorf
"192 Broadway, Düsseldorf",ID003417,141,20,6,Residential,7628816,360,2,Düsseldorf
"72 Main St, Düsseldorf",ID022917,142,17,17,Residential,6625088,162,8,Düsseldorf
"260 High St, Düsseldorf",ID000593,142,20,16,Commercial,9132750,329,8,Düsseldorf
